Tenor,OIS Table Product,OIS Rate,OIS Forward Rate,OIS Discount Factor,IRS Table Product,IRS Rate,LIBOR Forward Rate,LIBOR Discount Factor
0.5,OIS,0.0025,0.0024984474705913584,0.9987515605493259,LIBOR,0.025,0.025,0.9876543209876544
1.0,OIS,0.003,0.0034925961006493367,0.9970089730807583,IRS,0.028,0.031005243445692922,0.9725768302912442
2.0,OIS,0.00325,0.0034947783831640322,0.99353074591327,IRS,0.03,0.03226332225343314,0.942179005418992
3.0,OIS,0.00335,0.0035447888626816138,0.9900151412182893,IRS,0.0315,0.03481396645500248,0.9104815319092057
4.0,OIS,0.0035,0.003945605189050738,0.986116649715254,IRS,0.0325,0.03583793575790495,0.878980678809588
5.0,OIS,0.0036,0.0039958903644343735,0.9821841197332217,IRS,0.033,0.03532599340876092,0.8489892887896946
7.0,OIS,0.004,0.005015351145907232,0.972405774594325,IRS,0.035,0.04129798578302752,0.7842161906085506
10.0,OIS,0.0045,0.005712184400126219,0.9559768785262053,IRS,0.037,0.04403276549187629,0.6927103353568494
15.0,OIS,0.005,0.006097219062120018,0.9276114796053304,IRS,0.04,0.05140068997368469,0.5510806954661571
20.0,OIS,0.00525,0.006099902914540323,0.9000759370413398,IRS,0.045,0.06999360979282271,0.4082175840302472
30.0,OIS,0.0055,0.006196159253120115,0.8474067157362286,IRS,0.05,0.08251504576809647,0.22366242865748626
